#NLOOK: 100000	 time in seconds
#size:         insert map:    insert tree:   balance():     unbalanced:    balanced:      map:           checks:
1024           0.000185966    0.000245094    2.69413e-05    0.00900817     0.00869894     0.0104861      000
2048           0.000273943    0.000549078    5.91278e-05    0.010371       0.0100579      0.00988698     000
4096           0.000893831    0.0024581      0.000162125    0.0187581      0.0125539      0.011374       000
8192           0.00144196     0.00294995     0.000655174    0.0152969      0.0188         0.0191519      000
16384          0.00475311     0.00607085     0.00241208     0.021595       0.0195611      0.021008       000
32768          0.00885701     0.0156391      0.00468493     0.0396411      0.019573       0.0242329      000
65536          0.025851       0.0403399      0.0129709      0.043653       0.0310049      0.035454       000
131072         0.0683138      0.102517       0.053504       0.060591       0.0501189      0.0563531      000
262144         0.19154        0.24702        0.11388        0.0812011      0.0726559      0.0724852      000
524288         0.499967       0.595258       0.284388       0.105429       0.0971332      0.105943       000
1048576        1.27488        1.46447        0.683691       0.135599       0.131214       0.131483       000
2097152        3.08923        3.66934        1.72389        0.167805       0.1587         0.154935       000
4194304        6.82552        8.62766        3.632          0.189397       0.17754        0.174205       000
8388608        16.1292        18.9521        8.40549        0.222111       0.204127       0.20501        000
